id,Name,Type,Cuisine,Address,District,Rating,Average
TP_0001,The_Gioi_An_Vat_-_Nguyen_Xuan_Khoat,Cafe,Vietnamese,"100D_Nguyen_Xuan_Khoat,_P._Tan_Thanh",Tan_Phu,4.85,17500
TP_0002,BE_-_BOT_CHIEN_-_PHAM_VAN,Restaurant,Vietnamese,"11_Pham_Van,_P._Phu_Tho_Hoa,",Tan_Phu,3.35,9500
TP_0003,Ga_Sai_Gon_-_Le_Sat,Bistro,Vietnamese,"111_Le_Sat,_P._Tan_Quy,",Tan_Phu,3.55,354000
TP_0004,Sumo_BBQ_-_TTTM_Dong_Phuong_-_Buffet_Nuong_&_Lau,Restaurant,Japanese,"TTTM_Dong_Phuong,_685_Au_Co,_P._Tan_Thanh",Tan_Phu,4.35,400000
TP_0005,Vuon_Thien_Thai_-_Nha_Hang_&_Tiec_Cuoi,Restaurant,Vietnamese,669_-_701_-_701A_Truong_Chinh_P._Tay_Thanh,Tan_Phu,3.4,700000
TP_0006,Hana_BBQ_&_Hot_Pot_Buffet_-_Tan_Son_Nhi,Restaurant,Japanese,"206_Tan_Son_Nhi,_P._Tan_Son_Nhi,",Tan_Phu,3.15,266000
TP_0007,Pepper_Lunch_-_AEON_Mall_Tan_Phu,Restaurant,Japanese,"Gian_Hang_L3,_AEON_Mall_Tan_Phu,_30_Bo_Bao_Tan_Thang,_P._Son_Ky,",Tan_Phu,3.65,375000
TP_0008,Chan_May_Bo_Tung_Xeo_-_Nguyen_Van_Sang,Restaurant,Vietnamese,"65_Nguyen_Van_Sang,_P._Tan_Son_Nhi,",Tan_Phu,3.6,375000
TP_0009,Jenny's_House_-_Huynh_Thien_Loc,Bakery,Asian,"52/26_Huynh_Thien_Loc,_P._Hoa_Thanh,",Tan_Phu,4,250000
TP_0010,Melisa_Center_-_Trung_Tam_Tiec_Cuoi_Hoi_Nghi,Restaurant,Vietnamese,"85_Thoai_Ngoc_Hau,_P._Hoa_Thanh,",Tan_Phu,4.05,3450000
TP_0011,Coca_Macaron_Bakery,Bakery,Vietnamese,"312_Trinh_Dinh_Trong,_P._Hoa_Thanh,",Tan_Phu,4,8750
TP_0012,Bach_Kim_-_Tiec_Cuoi_&_Hoi_Nghi,Restaurant,Vietnamese,"579_Au_Co,_P._Phu_Trung,",Tan_Phu,3,2850000
TP_0013,Tiec_Cuoi_Nam_Bo,Restaurant,Vietnamese,"615A_Au_Co,__P._Hoa_Thanh,",Tan_Phu,3.2,2750000
TP_0014,BBQ_House_-_Buffet_Nuong_&_Lau_Han_Quoc_-_Le_Trong_Tan,Restaurant,Korean,"433_Le_Trong_Tan,_P._Son_Ky,",Tan_Phu,3.9,299000
TP_0015,Musang_King_-_Sau_Rieng_Malaysia_-_Shop_Online,Restaurant,Malaysian,"1_Do_Nhuan,_P._Son_Ky",Tan_Phu,4.5,415000
TP_0016,PewPew_-_Chan_Ga_&_Chan_Vit_Rut_Xuong_Sa_Tac_-_Shop_Online_-_Phu_Tho_Hoa,Restaurant,Vietnamese,"156/74_Phu_Tho_Hoa,_P._Phu_Tho_Hoa,",Tan_Phu,3.55,170000
TP_0017,Dookki_Viet_Nam_-_Lau_&_Buffet_Tokpokki_-_AEON_Mall_Tan_Phu,Restaurant,Korean,"Tang_3,_AEON_Mall_Tan_Phu,_30_Bo_Bao_Tan_Thang,_P._Son_Ky",Tan_Phu,3.4,317000
TP_0018,Lau_Bang_Chuyen_Osaka1_-_Luy_Ban_Bich,Restaurant,Japanese,"455_Luy_Ban_Bich,_P._Hoa_Thanh,",Tan_Phu,3.15,144000
TP_0019,Ushi_Mania_-_Japanese_Meat_Bar,Restaurant,Japanese,"Lo_T26,_Tang_3_Aeon_Mall_Tan_Phu,_30_Bo_Bao_Tan_Thang,_P._Son_Ky,",Tan_Phu,3.6,300000
TP_0020,Nijyu_Maru_-_AEON_Mall_Tan_Phu,Restaurant,Japanese,"First_Floor,_Tang_1_AEON_Mall_Tan_Phu,_30_Bo_Bao_Tan_Thang,_P._Son_Ky,",Tan_Phu,3.15,160000
TP_0021,Pho_Nuong_Tu_Tri_-_Nguyen_Suy,Restaurant,Vietnamese,"206_Nguyen_Suy,_P._Tan_Quy,",Tan_Phu,3.55,160000
TP_0022,Ut_Quynh_-_Ga_Nuong_Muoi_Ot_-_Tan_Ky_Tan_Quy,Restaurant,Vietnamese,"100_Tan_Ky_Tan_Quy,_P._Tay_Thanh",Tan_Phu,4.3,115000
TP_0023,Chu_Teo_Buffet_Nuong_99K_-_320_Tan_Ky_Tan_Quy,Restaurant,Vietnamese,"320_Tan_Ky_Tan_Quy,_Phuong_Son_Ky,",Tan_Phu,3.35,109000
TP_0024,Nha_Hang_Cu_Dat_-_Am_Thuc_Viet_Nam,Restaurant,Vietnamese,"481_Le_Trong_Tan,_P._Son_Ky,",Tan_Phu,4,122500
TP_0025,Goc_Bep_Me_Sun,Restaurant,Vietnamese,"2/1_Do_Nhuan,_P._Son_Ky,",Tan_Phu,4.55,225000
TP_0026,Starbucks_Coffee_-_Pandora_City,Cafe,USA,"Tang_Tret_Pandora_City,_1/1_Truong_Chinh,_P._Tay_Thanh,",Tan_Phu,3.95,110000
TP_0027,Chang_Kang_Kung_-_Hap_Thuy_Nhiet_Hong_Kong_-_AEON_Mall_Tan_Phu,Restaurant,Chinese,"Floor_3,_AEON_Mall_Tan_Phu,_30_Bo_Bao_Tan_Thang,_P._Son_Ky,",Tan_Phu,3.75,175000
TP_0028,Marukame_Udon_-_AEON_Mall_Tan_Phu,Restaurant,Japanese,"Floor_3,_AEON_Mall_Tan_Phu,_30_Bo_Bao_Tan_Thang,_P._Son_Ky,",Tan_Phu,3.75,112500
TP_0029,Lau_Nuong_Anh_Em,Bistro,Vietnamese,"88_Go_Dau,_P._Tan_Quy,",Tan_Phu,3.6,112500
TP_0030,Biscotti_-_Banh_Hat_Dinh_Duong_-_Phu_Tho_Hoa,Cafe,Asian,"156/74_Phu_Tho_Hoa,_P._Phu_Tho_Hoa,",Tan_Phu,5,105000
TP_0031,Artisan_Baked_-_Banh_Biscotti,Restaurant,Vietnamese,"156/74_Phu_Tho_Hoa,_P._Phu_Tho_Hoa,",Tan_Phu,4.95,80000
TP_0032,Kokekokko_-_Ga_Quay_Teriyaki_-_Pandora_City,Restaurant,Japanese,"Tang_4_Pandora_City,_1/1_Truong_Chinh,_P._Tay_Thanh,",Tan_Phu,3.6,82500
TP_0033,Tao_Ngo_-_Lau_Ga_La_E,Bistro,Vietnamese,"79A,B_Tran_Quang_Co,_P._Phu_Thanh,",Tan_Phu,3.65,125000
TP_0034,Quan_Trang_-_Lau_Bo,Bistro,Vietnamese,"61_Hoang_Thieu_Hoa,_P._Hiep_Tan,",Tan_Phu,3.7,80000
TP_0035,Beefsteak_Hoang_Gia_-_Luy_Ban_Bich,Restaurant,Vietnamese,"599_Luy_Ban_Bich,_P._Phu_Thanh,",Tan_Phu,3.4,107500
TP_0036,Nha_Hang_Sai_Gon_Xua_&_Nay_-_Nguyen_Son,Restaurant,Vietnamese,"53_Nguyen_Son,_P._Phu_Thanh,",Tan_Phu,3.25,275000
TP_0037,Bot_Chien_Tran_Phu,Bistro,Vietnamese,"477_-_479_Le_Trong_Tan,_P._Son_Ky,",Tan_Phu,3.75,150000
TP_0038,Banh_Canh_Cua_Bay,Bistro,Vietnamese,41_Cay_Keo_P._Hiep_Tan,Tan_Phu,3.4,100000
TP_0039,The_Alley_-_Tra_Sua_Dai_Loan_-_Le_Thiet,Cafe,Taiwanese,"39_Le_Thiet,_P._Phu_Tho_Hoa,",Tan_Phu,3.5,69000
TP_0040,Quan_Chi_Toi_-_Nhau_San_Vuon_-_Nguyen_Son,Bistro,Vietnamese,"3_Nguyen_Son,_P._Phu_Thanh,",Tan_Phu,3.05,100000
TP_0041,Bo_To_Nam_Sanh_Quyet_Thang_-_Tay_Thanh,Bistro,Southeast,"279_Tay_Thanh,_P._Tay_Thanh,",Tan_Phu,3.85,150000
TP_0042,O_Gai_Hue_-_Quan_Nhau_Binh_Dan,Bar,Vietnamese,"247_Hien_Vuong,_P._Phu_Thanh,",Tan_Phu,4.4,125000
TP_0043,Lau_De_Tuan_Hung_-_Thoai_Ngoc_Hau,Bistro,Vietnamese,"214_Thoai_Ngoc_Hau,_P._Phu_Thanh,",Tan_Phu,3.55,135000
TP_0044,Bach_Tuoc_Nuong_Kien_Giang,Bistro,Vietnamese,173_Kenh_Tan_Hoa_P._Hoa_Thanh,Tan_Phu,3.4,150000
TP_0045,Chao_Ech_U,Restaurant,Vietnamese,"166B_Go_Dau,_P._Tan_Quy,",Tan_Phu,4.05,55000
TP_0046,Mr_Nhoi_-_Heo_Quay_Tay_Bac_-_Tan_Ky_Tan_Quy,Bistro,Vietnamese,"161_Tan_Ky_Tan_Quy,_P._Tan_Son_Nhi,",Tan_Phu,4.65,175000
TP_0047,Quan_Oc_Bom,Restaurant,Vietnamese,"155_Nguyen_Son,_P._Phu_Tho_Hoa,",Tan_Phu,3.95,135000
TP_0048,Quan_Mr._Oc_-_Nuong_&_Lau,Bistro,Vietnamese,"140_Kenh_Tan_Hoa,_Phu_Trung,",Tan_Phu,3.65,75000
TP_0049,Oc_Nho_Sai_Gon_-_Trinh_Dinh_Trong,Bistro,Vietnamese,"136_Trinh_Dinh_Trong,",Tan_Phu,3.6,100000
TP_0051,Chicken_Go_Saigon_-_Shop_Online,Restaurant,Vietnamese,111_Le_Sat_P._Tan_Quy,Tan_Phu,3.4,75000
TP_0052,Niku_Town_-_Beer_&_BBQ_&_Hotpot,Bistro,Vietnamese,"101A_Bo_Bao_Tan_Thang,",Tan_Phu,3.25,125000
TP_0053,Chao_Ca_-_AEON_Mall_Tan_Phu,Restaurant,Vietnamese,"Floor_3,_AEON_Mall_Tan_Phu,_30_Bo_Bao_Tan_Thang,_P._Son_Ky,",Tan_Phu,4.5,599500
TP_0054,Trong_Com_-_Vietnamese_Casual_Food_-_AEON_Mall_Tan_Phu,Restaurant,Vietnamese,"Floor_3, ",Tan_Phu,4.05,147500
TP_0055,Nicky_BT_&_HBG_-_Beefsteak_&_Hamburger_-_AEON_Mall,Restaurant,Asian,________________________________________,Tan_Phu,3.4,77500
TP_0056,Xuan_Duc_-_Lau_Cua_Dong,Bistro,Vietnamese,"____________________________________________Tang_3_AEON_Mall_Tan_Phu,_30_Bo_Bao_Tan_Thang,_P._Son_Ky,",Tan_Phu,4.4,172500
TP_0057,Trung_Nguyen_Coffee_-_Pandora_City,Cafe,Vietnamese,Floor_2_AEON_Mall_30_Bo_Bao_Tan_Thang_P._Son_Ky,Tan_Phu,3.65,58500
TP_0058,Hurom_Juice_Cafe_-_Aeon_Mall_Tan_Phu,Cafe,Vietnamese,"2/11/1A_Nguyen_Van_Vinh,_P._Hiep_Tan,",Tan_Phu,3.6,95000
TP_0059,Nam_Ngoc_Hien_-_Tra_Quan,Cafe,Vietnamese,"Tang_1_Pandora_City,_1/1_Truong_Chinh,_P._Tay_Thanh,",Tan_Phu,4.55,120000
TP_0060,Tra_Sua_Gong_Cha_-_??_-_Nguyen_Son,Cafe,Taiwanese,"G_Floor,Tang_Tret_G29_Aeon_Mall_Tan_Phu,_30_Bo_Bao_Tan_Thang,",Tan_Phu,3.3,60000
TP_0061,QGateaux_-_Tiem_Banh_Online,Restaurant,Vietnamese,"710/5_Luy_Ban_Bich,_P._Tan_Thanh,",Tan_Phu,3.8,120000
TP_0062,Dat_Quan_-_Hai_San_&_Oc,Bar,Vietnamese,"7_Nguyen_Son,_P._Phu_Thanh,",Tan_Phu,4,60000
TP_0063,Chao_Ech_Cay_Cay_2,Bistro,Vietnamese,"49/40/43_Trinh_Dinh_Trong,_P._Phu_Trung,",Tan_Phu,3.7,60000
TP_0064,Sapphire_Cafe,Cafe,Vietnamese,"35/19_Le_Nga,_P._Phu_Trung,",Tan_Phu,3.25,70000
TP_0065,Quan_Bo_To_Tay_Ninh_A.Bay,Bistro,Vietnamese,"314_Tan_Son_Nhi,_P._Tan_Son_Nhi,",Tan_Phu,4.35,144500
TP_0066,Suon_Muoi_Ot_-_Thoai_Ngoc_Hau,Bistro,Vietnamese,"1_Kenh_Tan_Hoa,_P._Hoa_Thanh",Tan_Phu,4.8,214000
TP_0067,Lau_Tom_Cang_Cajun,Restaurant,Vietnamese,"18_Thach_Lam,_P._Phu_Thanh,",Tan_Phu,3.15,104000
TP_0068,LAMY_Coffee_Shop,Cafe,Vietnamese,"171_Thoai_Ngoc_Hau,_P._Phu_Thanh,",Tan_Phu,4.35,44000
TP_0069,Ca_Ri_Ga_Ta_-_Bun_Ca_Ri_Ga_Ta,Bistro,Vietnamese,"155_Kenh_Tan_Hoa,_P._Hoa_Thanh,",Tan_Phu,3.4,39500
